Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,066214,2020,01,01,0,1,N
IDCJAC0009,066214,2020,01,02,0,1,N
IDCJAC0009,066214,2020,01,03,0,1,N
IDCJAC0009,066214,2020,01,04,0,1,N
IDCJAC0009,066214,2020,01,05,0,1,N
IDCJAC0009,066214,2020,01,06,0,1,N
IDCJAC0009,066214,2020,01,07,3,1,N
IDCJAC0009,066214,2020,01,08,3,1,N
IDCJAC0009,066214,2020,01,09,0,1,N
IDCJAC0009,066214,2020,01,10,0.4,1,N
IDCJAC0009,066214,2020,01,11,0.2,1,N
IDCJAC0009,066214,2020,01,12,0,1,N
IDCJAC0009,066214,2020,01,13,0.6,1,N
IDCJAC0009,066214,2020,01,14,0,1,N
IDCJAC0009,066214,2020,01,15,0,1,N
IDCJAC0009,066214,2020,01,16,0.6,1,N
IDCJAC0009,066214,2020,01,17,29,1,N
IDCJAC0009,066214,2020,01,18,33,1,N
IDCJAC0009,066214,2020,01,19,4,1,N
IDCJAC0009,066214,2020,01,20,0.2,1,N
IDCJAC0009,066214,2020,01,21,3,1,N
IDCJAC0009,066214,2020,01,22,0,1,N
IDCJAC0009,066214,2020,01,23,0,1,N
IDCJAC0009,066214,2020,01,24,0,1,N
IDCJAC0009,066214,2020,01,25,2.2,1,N
IDCJAC0009,066214,2020,01,26,0,1,N
IDCJAC0009,066214,2020,01,27,0.2,1,N
IDCJAC0009,066214,2020,01,28,0,1,N
IDCJAC0009,066214,2020,01,29,0,1,N
IDCJAC0009,066214,2020,01,30,0,1,N
IDCJAC0009,066214,2020,01,31,0,1,N
IDCJAC0009,066214,2020,02,01,0,1,N
IDCJAC0009,066214,2020,02,02,0,1,N
IDCJAC0009,066214,2020,02,03,23,1,N
IDCJAC0009,066214,2020,02,04,3,1,N
IDCJAC0009,066214,2020,02,05,0.6,1,N
IDCJAC0009,066214,2020,02,06,0.6,1,N
IDCJAC0009,066214,2020,02,07,78.2,1,N
IDCJAC0009,066214,2020,02,08,69.2,1,N
IDCJAC0009,066214,2020,02,09,65.4,1,N
IDCJAC0009,066214,2020,02,10,164.8,1,N
IDCJAC0009,066214,2020,02,11,0,1,N
IDCJAC0009,066214,2020,02,12,0,1,N
IDCJAC0009,066214,2020,02,13,7.8,1,N
IDCJAC0009,066214,2020,02,14,5.4,1,N
IDCJAC0009,066214,2020,02,15,0,1,N
IDCJAC0009,066214,2020,02,16,1,1,N
IDCJAC0009,066214,2020,02,17,1,1,N
IDCJAC0009,066214,2020,02,18,0.4,1,N
IDCJAC0009,066214,2020,02,19,11.2,1,N
IDCJAC0009,066214,2020,02,20,0,1,N
IDCJAC0009,066214,2020,02,21,0,1,N
IDCJAC0009,066214,2020,02,22,0,1,N
IDCJAC0009,066214,2020,02,23,0,1,N
IDCJAC0009,066214,2020,02,24,2,1,N
IDCJAC0009,066214,2020,02,25,0.2,1,N
IDCJAC0009,066214,2020,02,26,0,1,N
IDCJAC0009,066214,2020,02,27,0.6,1,N
IDCJAC0009,066214,2020,02,28,0,1,N
IDCJAC0009,066214,2020,02,29,0,1,N
IDCJAC0009,066214,2020,03,01,0,1,N
IDCJAC0009,066214,2020,03,02,0,1,N
IDCJAC0009,066214,2020,03,03,0,1,N
IDCJAC0009,066214,2020,03,04,22.4,1,N
IDCJAC0009,066214,2020,03,05,8,1,N
IDCJAC0009,066214,2020,03,06,40.6,1,N
IDCJAC0009,066214,2020,03,07,0,1,N
IDCJAC0009,066214,2020,03,08,18.8,1,N
IDCJAC0009,066214,2020,03,09,7.2,1,N
IDCJAC0009,066214,2020,03,10,4,1,N
IDCJAC0009,066214,2020,03,11,0,1,N
IDCJAC0009,066214,2020,03,12,0.8,1,N
IDCJAC0009,066214,2020,03,13,0,1,N
IDCJAC0009,066214,2020,03,14,0,1,N
IDCJAC0009,066214,2020,03,15,12.6,1,N
IDCJAC0009,066214,2020,03,16,15,1,N
IDCJAC0009,066214,2020,03,17,10.4,1,N
IDCJAC0009,066214,2020,03,18,0,1,N
IDCJAC0009,066214,2020,03,19,0.2,1,N
IDCJAC0009,066214,2020,03,20,0,1,N
IDCJAC0009,066214,2020,03,21,0,1,N
IDCJAC0009,066214,2020,03,22,0,1,N
IDCJAC0009,066214,2020,03,23,0.6,1,N
IDCJAC0009,066214,2020,03,24,6,1,N
IDCJAC0009,066214,2020,03,25,0.4,1,N
IDCJAC0009,066214,2020,03,26,19.4,1,N
IDCJAC0009,066214,2020,03,27,0.6,1,N
IDCJAC0009,066214,2020,03,28,0,1,N
IDCJAC0009,066214,2020,03,29,13.4,1,N
IDCJAC0009,066214,2020,03,30,1,1,N
IDCJAC0009,066214,2020,03,31,0,1,N
IDCJAC0009,066214,2020,04,01,0,1,N
IDCJAC0009,066214,2020,04,02,0,1,N
IDCJAC0009,066214,2020,04,03,4.8,1,N
IDCJAC0009,066214,2020,04,04,7.2,1,N
IDCJAC0009,066214,2020,04,05,0,1,N
IDCJAC0009,066214,2020,04,06,0,1,N
IDCJAC0009,066214,2020,04,07,4.8,1,N
IDCJAC0009,066214,2020,04,08,7.2,1,N
IDCJAC0009,066214,2020,04,09,0,1,N
IDCJAC0009,066214,2020,04,10,1.2,1,N
IDCJAC0009,066214,2020,04,11,3.4,1,N
IDCJAC0009,066214,2020,04,12,0,1,N
IDCJAC0009,066214,2020,04,13,0,1,N
IDCJAC0009,066214,2020,04,14,0,1,N
IDCJAC0009,066214,2020,04,15,0,1,N
IDCJAC0009,066214,2020,04,16,0,1,N
IDCJAC0009,066214,2020,04,17,0,1,N
IDCJAC0009,066214,2020,04,18,0,1,N
IDCJAC0009,066214,2020,04,19,0,1,N
IDCJAC0009,066214,2020,04,20,0,1,N
IDCJAC0009,066214,2020,04,21,0,1,N
IDCJAC0009,066214,2020,04,22,0,1,N
IDCJAC0009,066214,2020,04,23,0,1,N
IDCJAC0009,066214,2020,04,24,0,1,N
IDCJAC0009,066214,2020,04,25,0,1,N
IDCJAC0009,066214,2020,04,26,0,1,N
IDCJAC0009,066214,2020,04,27,0,1,N
IDCJAC0009,066214,2020,04,28,0.4,1,N
IDCJAC0009,066214,2020,04,29,0.4,1,N
IDCJAC0009,066214,2020,04,30,0.2,1,N
IDCJAC0009,066214,2020,05,01,17.2,1,N
IDCJAC0009,066214,2020,05,02,0,1,N
IDCJAC0009,066214,2020,05,03,0,1,N
IDCJAC0009,066214,2020,05,04,0,1,N
IDCJAC0009,066214,2020,05,05,11.4,1,N
IDCJAC0009,066214,2020,05,06,0,1,N
IDCJAC0009,066214,2020,05,07,0,1,N
IDCJAC0009,066214,2020,05,08,0,1,N
IDCJAC0009,066214,2020,05,09,0,1,N
IDCJAC0009,066214,2020,05,10,0,1,N
IDCJAC0009,066214,2020,05,11,0,1,N
IDCJAC0009,066214,2020,05,12,0,1,N
IDCJAC0009,066214,2020,05,13,0,1,N
IDCJAC0009,066214,2020,05,14,0,1,N
IDCJAC0009,066214,2020,05,15,3.4,1,N
IDCJAC0009,066214,2020,05,16,7.8,1,N
IDCJAC0009,066214,2020,05,17,0.2,1,N
IDCJAC0009,066214,2020,05,18,1.2,1,N
IDCJAC0009,066214,2020,05,19,1,1,N
IDCJAC0009,066214,2020,05,20,0,1,N
IDCJAC0009,066214,2020,05,21,0,1,N
IDCJAC0009,066214,2020,05,22,25.2,1,N
IDCJAC0009,066214,2020,05,23,3,1,N
IDCJAC0009,066214,2020,05,24,0.2,1,N
IDCJAC0009,066214,2020,05,25,0.2,1,N
IDCJAC0009,066214,2020,05,26,53.4,1,N
IDCJAC0009,066214,2020,05,27,7,1,N
IDCJAC0009,066214,2020,05,28,0,1,N
IDCJAC0009,066214,2020,05,29,0,1,N
IDCJAC0009,066214,2020,05,30,7,1,N
IDCJAC0009,066214,2020,05,31,0,1,N
IDCJAC0009,066214,2020,06,01,0,1,N
IDCJAC0009,066214,2020,06,02,4.8,1,N
IDCJAC0009,066214,2020,06,03,0.2,1,N
IDCJAC0009,066214,2020,06,04,0,1,N
IDCJAC0009,066214,2020,06,05,0,1,N
IDCJAC0009,066214,2020,06,06,0,1,N
IDCJAC0009,066214,2020,06,07,0,1,N
IDCJAC0009,066214,2020,06,08,19.8,1,N
IDCJAC0009,066214,2020,06,09,4.8,1,N
IDCJAC0009,066214,2020,06,10,6.2,1,N
IDCJAC0009,066214,2020,06,11,7.2,1,N
IDCJAC0009,066214,2020,06,12,,,
IDCJAC0009,066214,2020,06,13,6,1,N
IDCJAC0009,066214,2020,06,14,10,1,N
IDCJAC0009,066214,2020,06,15,0,1,N
IDCJAC0009,066214,2020,06,16,0,1,N
IDCJAC0009,066214,2020,06,17,0,1,N
IDCJAC0009,066214,2020,06,18,3.2,1,N
IDCJAC0009,066214,2020,06,19,0,1,N
IDCJAC0009,066214,2020,06,20,0,1,N
IDCJAC0009,066214,2020,06,21,5.8,1,N
IDCJAC0009,066214,2020,06,22,0.6,1,N
IDCJAC0009,066214,2020,06,23,0,1,N
IDCJAC0009,066214,2020,06,24,0,1,N
IDCJAC0009,066214,2020,06,25,0,1,N
IDCJAC0009,066214,2020,06,26,0,1,N
IDCJAC0009,066214,2020,06,27,1.2,1,N
IDCJAC0009,066214,2020,06,28,0.2,1,N
IDCJAC0009,066214,2020,06,29,8.4,1,N
IDCJAC0009,066214,2020,06,30,1.8,1,N
IDCJAC0009,066214,2020,07,01,0,1,N
IDCJAC0009,066214,2020,07,02,,,
IDCJAC0009,066214,2020,07,03,0,1,N
IDCJAC0009,066214,2020,07,04,1.6,1,N
IDCJAC0009,066214,2020,07,05,0.2,1,N
IDCJAC0009,066214,2020,07,06,0,1,N
IDCJAC0009,066214,2020,07,07,0,1,N
IDCJAC0009,066214,2020,07,08,11.2,1,N
IDCJAC0009,066214,2020,07,09,0,1,N
IDCJAC0009,066214,2020,07,10,0,1,N
IDCJAC0009,066214,2020,07,11,4.8,1,N
IDCJAC0009,066214,2020,07,12,0.6,1,N
IDCJAC0009,066214,2020,07,13,4.6,1,N
IDCJAC0009,066214,2020,07,14,19.4,1,N
IDCJAC0009,066214,2020,07,15,16.4,1,N
IDCJAC0009,066214,2020,07,16,0,1,N
IDCJAC0009,066214,2020,07,17,0.2,1,N
IDCJAC0009,066214,2020,07,18,1.2,1,N
IDCJAC0009,066214,2020,07,19,0,1,N
IDCJAC0009,066214,2020,07,20,0,1,N
IDCJAC0009,066214,2020,07,21,0,1,N
IDCJAC0009,066214,2020,07,22,0,1,N
IDCJAC0009,066214,2020,07,23,0,1,N
IDCJAC0009,066214,2020,07,24,0,1,N
IDCJAC0009,066214,2020,07,25,0,1,N
IDCJAC0009,066214,2020,07,26,7.4,1,N
IDCJAC0009,066214,2020,07,27,84.6,1,N
IDCJAC0009,066214,2020,07,28,53.2,1,N
IDCJAC0009,066214,2020,07,29,3.8,1,N
IDCJAC0009,066214,2020,07,30,0,1,N
IDCJAC0009,066214,2020,07,31,0,1,N
IDCJAC0009,066214,2020,08,01,0,1,N
IDCJAC0009,066214,2020,08,02,0,1,N
IDCJAC0009,066214,2020,08,03,0,1,N
IDCJAC0009,066214,2020,08,04,0,1,N
IDCJAC0009,066214,2020,08,05,0,1,N
IDCJAC0009,066214,2020,08,06,0,1,N
IDCJAC0009,066214,2020,08,07,0,1,N
IDCJAC0009,066214,2020,08,08,28.6,1,N
IDCJAC0009,066214,2020,08,09,6,1,N
IDCJAC0009,066214,2020,08,10,36.2,1,N
IDCJAC0009,066214,2020,08,11,2,1,N
IDCJAC0009,066214,2020,08,12,0,1,N
IDCJAC0009,066214,2020,08,13,1.2,1,N
IDCJAC0009,066214,2020,08,14,0,1,N
IDCJAC0009,066214,2020,08,15,3.2,1,N
IDCJAC0009,066214,2020,08,16,2,1,N
IDCJAC0009,066214,2020,08,17,0.2,1,N
IDCJAC0009,066214,2020,08,18,0,1,N
IDCJAC0009,066214,2020,08,19,0,1,N
IDCJAC0009,066214,2020,08,20,0,1,N
IDCJAC0009,066214,2020,08,21,0,1,N
IDCJAC0009,066214,2020,08,22,0,1,N
IDCJAC0009,066214,2020,08,23,0,1,N
IDCJAC0009,066214,2020,08,24,0,1,N
IDCJAC0009,066214,2020,08,25,0,1,N
IDCJAC0009,066214,2020,08,26,0,1,N
IDCJAC0009,066214,2020,08,27,0,1,N
IDCJAC0009,066214,2020,08,28,0,1,N
IDCJAC0009,066214,2020,08,29,0,1,N
IDCJAC0009,066214,2020,08,30,0,1,N
IDCJAC0009,066214,2020,08,31,0,1,N
IDCJAC0009,066214,2020,09,01,0,1,Y
IDCJAC0009,066214,2020,09,02,0,1,N
IDCJAC0009,066214,2020,09,03,0,1,N
IDCJAC0009,066214,2020,09,04,0,1,N
IDCJAC0009,066214,2020,09,05,6.4,1,Y
IDCJAC0009,066214,2020,09,06,0.2,1,N
IDCJAC0009,066214,2020,09,07,0.2,1,N
IDCJAC0009,066214,2020,09,08,0,1,N
IDCJAC0009,066214,2020,09,09,0,1,N
IDCJAC0009,066214,2020,09,10,,,
IDCJAC0009,066214,2020,09,11,0.2,1,N
IDCJAC0009,066214,2020,09,12,,,
IDCJAC0009,066214,2020,09,13,0,1,N
IDCJAC0009,066214,2020,09,14,0,1,N
